date,close
2020-01-01,3200.0
2020-01-02,3203.18
2020-01-03,3202.29
2020-01-06,3206.44
2020-01-07,3216.21
2020-01-08,3214.7
2020-01-09,3213.2
2020-01-10,3223.35
2020-01-13,3228.29
2020-01-14,3225.26
2020-01-15,3228.76
2020-01-16,3225.77
2020-01-17,3222.76
2020-01-20,3224.32
2020-01-21,3211.99
2020-01-22,3200.9
2020-01-23,3197.31
2020-01-24,3190.83
2020-01-27,3192.83
2020-01-28,3187.04
2020-01-29,3178.03
2020-01-30,3187.35
2020-01-31,3185.91
2020-02-03,3186.34
2020-02-04,3177.26
2020-02-05,3173.8
2020-02-06,3174.51
2020-02-07,3167.2
2020-02-10,3169.58
2020-02-11,3165.77
2020-02-12,3163.92
2020-02-13,3160.12
2020-02-14,3171.82
2020-02-17,3171.74
2020-02-18,3165.03
2020-02-19,3170.23
2020-02-20,3162.49
2020-02-21,3163.81
2020-02-24,3151.41
2020-02-25,3143.04
2020-02-26,3144.28
2020-02-27,3148.92
2020-02-28,3150.0
2020-03-02,3149.28
2020-03-03,3147.38
2020-03-04,3138.07
2020-03-05,3133.55
2020-03-06,3130.67
2020-03-09,3137.29
2020-03-10,3139.44
2020-03-11,3128.37
2020-03-12,3130.4
2020-03-13,3127.99
2020-03-16,3123.75
2020-03-17,3127.58
2020-03-18,3134.02
2020-03-19,3139.86
2020-03-20,3134.59
2020-03-23,3132.65
2020-03-24,3134.73
2020-03-25,3140.85
2020-03-26,3137.84
2020-03-27,3136.67
2020-03-30,3129.73
2020-03-31,3122.24
2020-04-01,3127.32
2020-04-02,3135.8
2020-04-03,3135.35
2020-04-06,3141.64
2020-04-07,3143.91
2020-04-08,3139.86
2020-04-09,3142.13
2020-04-10,3151.79
2020-04-13,3151.56
2020-04-14,3161.43
2020-04-15,3144.86
2020-04-16,3150.03
2020-04-17,3150.58
2020-04-20,3148.7
2020-04-21,3149.27
2020-04-22,3136.76
2020-04-23,3135.38
2020-04-24,3137.62
2020-04-27,3146.89
2020-04-28,3143.63
2020-04-29,3138.55
2020-04-30,3135.4
2020-05-01,3141.14
2020-05-04,3143.2
2020-05-05,3139.87
2020-05-06,3143.09
2020-05-07,3143.7
2020-05-08,3149.8
2020-05-11,3145.37
2020-05-12,3143.31
2020-05-13,3140.85
2020-05-14,3131.65
2020-05-15,3133.51
2020-05-18,3135.14
2020-05-19,3135.18
2020-05-20,3133.7
2020-05-21,3124.83
2020-05-22,3122.21
2020-05-25,3120.07
2020-05-26,3115.06
2020-05-27,3114.05
2020-05-28,3116.57
2020-05-29,3128.33
2020-06-01,3129.42
2020-06-02,3131.03
2020-06-03,3130.57
2020-06-04,3118.55
2020-06-05,3118.39
2020-06-08,3118.76
2020-06-09,3134.13
2020-06-10,3132.92
2020-06-11,3134.81
2020-06-12,3134.59
2020-06-15,3127.27
2020-06-16,3134.41
2020-06-17,3139.13
2020-06-18,3144.09
2020-06-19,3138.38
2020-06-22,3147.18
2020-06-23,3138.36
2020-06-24,3142.04
2020-06-25,3155.81
2020-06-26,3149.55
2020-06-29,3145.99
2020-06-30,3146.61
2020-07-01,3143.44
2020-07-02,3133.7
2020-07-03,3134.13
2020-07-06,3127.47
2020-07-07,3130.43
2020-07-08,3124.67
2020-07-09,3134.36
2020-07-10,3129.45
2020-07-13,3127.43
2020-07-14,3132.52
2020-07-15,3124.81
2020-07-16,3126.23
2020-07-17,3134.4
2020-07-20,3124.33
2020-07-21,3125.48
2020-07-22,3127.11
2020-07-23,3132.0
2020-07-24,3124.25
2020-07-27,3116.0
2020-07-28,3119.25
2020-07-29,3121.1
2020-07-30,3122.67
2020-07-31,3124.83
2020-08-03,3120.58
2020-08-04,3122.03
2020-08-05,3123.86
2020-08-06,3119.4
2020-08-07,3131.04
2020-08-10,3134.0
2020-08-11,3126.54
2020-08-12,3130.64
2020-08-13,3124.54
2020-08-14,3129.46
2020-08-17,3136.71
2020-08-18,3131.56
2020-08-19,3137.59
2020-08-20,3140.18
2020-08-21,3145.35
2020-08-24,3157.28
2020-08-25,3155.73
2020-08-26,3150.97
2020-08-27,3145.37
2020-08-28,3140.23
2020-08-31,3139.75
2020-09-01,3141.89
2020-09-02,3143.63
2020-09-03,3148.83
2020-09-04,3148.91
2020-09-07,3158.07
2020-09-08,3156.4
2020-09-09,3173.57
2020-09-10,3177.54
2020-09-11,3172.09
2020-09-14,3165.3
2020-09-15,3168.35
2020-09-16,3166.94
2020-09-17,3171.46
2020-09-18,3174.46
2020-09-21,3174.0
2020-09-22,3168.62
2020-09-23,3159.02
2020-09-24,3156.2
2020-09-25,3161.61
2020-09-28,3162.96
2020-09-29,3155.08
2020-09-30,3156.17
2020-10-01,3158.61
2020-10-02,3153.02
2020-10-05,3153.99
2020-10-06,3154.36
2020-10-07,3147.15
2020-10-08,3149.4
2020-10-09,3152.93
2020-10-12,3159.76
2020-10-13,3166.42
2020-10-14,3157.7
2020-10-15,3151.77
2020-10-16,3155.02
2020-10-19,3158.26
2020-10-20,3161.52
2020-10-21,3185.88
2020-10-22,3189.51
2020-10-23,3196.76
2020-10-26,3202.86
2020-10-27,3207.03
2020-10-28,3205.01
2020-10-29,3209.87
2020-10-30,3204.91
2020-11-02,3203.39
2020-11-03,3200.28
2020-11-04,3200.81
2020-11-05,3215.63
2020-11-06,3203.62
2020-11-09,3208.01
2020-11-10,3197.67
2020-11-11,3194.65
2020-11-12,3201.61
2020-11-13,3202.02
2020-11-16,3195.12
2020-11-17,3190.55
2020-11-18,3194.88
2020-11-19,3190.22
2020-11-20,3191.6
2020-11-23,3191.89
2020-11-24,3187.73
2020-11-25,3201.4
2020-11-26,3205.45
2020-11-27,3192.47
2020-11-30,3193.66
2020-12-01,3189.44
2020-12-02,3194.87
2020-12-03,3189.81
2020-12-04,3189.08
2020-12-07,3192.3
2020-12-08,3197.83
2020-12-09,3190.15
2020-12-10,3188.01
2020-12-11,3184.99
2020-12-14,3180.82
2020-12-15,3192.06
2020-12-16,3194.64
2020-12-17,3186.59
2020-12-18,3192.43
2020-12-21,3205.98
2020-12-22,3212.6
2020-12-23,3202.84
2020-12-24,3199.74
2020-12-25,3207.85
2020-12-28,3203.31
2020-12-29,3206.15
2020-12-30,3211.12
2020-12-31,3205.17
